Company name,CEO,TEL,Address,Category
(주)거성산업개발,배승우,061-243-7670,(58662) 전라남도 목포시 상동 853-3,[건축공사업][150078][양도에 의한 등록말소 : 2015-04-20]/[건축공사업][150078][정상]/[석공사업][전남98-4-39][자진반납 : 1999-09-29]/[창호공사업][98-8-11][자진반납 : 1999-09-29]/[철근ㆍ콘크리트공사업][전남92-10-86][자진반납 : 1999-09-29]/[철물공사업][전남98-11-2][자진반납 : 1999-09-29]/[상ㆍ하수도설비공사업][전남98-13-72][자진반납 : 1999-09-29]/[건축물조립공사업][전남96-20-1][자진반납 : 1998-06-11]/[시설물유지관리업][목포 2010-29-03][폐업 : 2013-09-06]/[시설물유지관리업][목포99-30-4][자진반납 : 2002-02-23]
(주)대영종합건설,박태훈,033-644-0181,(25439) 강원도 강릉시 사천면 미노리 447-1， 1층,[토목공사업][110249][정상]/[건축공사업][11-0511][정상]
(주)엠비앤홀딩스,심현태,02-3486-1006,(06735) 서울특별시 서초구 서초동 1366-4 ， 10층(서초동， 서희타워),[건축공사업][10-2409][정상]
주식회사 대륜건설,임인례,070-8822-5838,(58279) 전라남도 나주시 다시면 신광리 902-1,[건축공사업][04-1050][정상]
(유)개미이엔지,김성식,063-232-5959,(55430) 전라북도 진안군 진안읍 군상리 449-2,[건축공사업][14-0857][정상]/[비계ㆍ구조물해체공사업][전북전주2018-6-2][대업종전환]/[구조물해체ㆍ비계공사업][전북전주2018-6-2][정상]/  ㄴ(주력분야:구조물해체ㆍ비계공사)/[포장공사업][목포 2007-16-04][폐업 : 2009-12-29]/[시설물유지관리업][광주동2010-29-01][정상]
(유)개벽종합건설,이영섭,063-254-8904,(55942) 전라북도 임실군 덕치면 사곡리 401-8,[토목공사업][14-0173][정상]/[건축공사업][14-0301][정상]
(유)거성,유기열,063-237-4141,(54980) 전라북도 전주시 완산구 중화산동2가 528-4 (중화산동2가),[건축공사업][14-0738][정상]/[실내건축공사업][전북전주2008-01-3][대업종전환]/[실내건축공사업][전북전주2008-01-3][정상]/  ㄴ(주력분야:실내건축공사)/[기계설비공사업][전북전주2011-10-2][폐업 : 2011-12-21]/[시설물유지관리업][전북전주2007-29-5][정상]
(유)건희종합건설,김도현,063-256-3000,"(54969) 전라북도 전주시 완산구 효자동3가 1527-16 ,3층(효자동3가)",[토목건축공사업][14-0117][폐업 : 2008-09-09]/[건축공사업][14-0348][정상]/[건축공사업][14-0038][자진반납 : 2005-02-18]
(유)경부산업개발,박몽선,063-543-7973,(54349) 전라북도 김제시 봉남면 대송리 157 2층,[건축공사업][14-0832][정상]/[토공사업][전주99-02-28][폐업 : 2005-12-01]/[철근ㆍ콘크리트공사업][전주99-10-25][폐업 : 2005-12-01]/[시설물유지관리업][전북전주2005-29-15][정상]/[습식ㆍ방수공사업][전북전주2003-03-04][폐업 : 2016-06-23]
(유)경성종합건설,홍성태,063-562-9777,"(56451) 전라북도 고창군 고창읍 석정리 783 ,4층(401호)",[건축공사업][14-0444][정상]
